lemma,pos,level,english,example_de,example_en,gender,plural,separable,aux,praesens_ich,praesens_er,praeteritum,partizip_ii,perfekt,comparative,superlative,sources_csv,source_notes
arbeiten,V,A1,to work,Sie arbeitete in einer Bank.,Er hat als Koch gearbeitet.,,,,haben,,,arbeitete,gearbeitet,hat gearbeitet,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/arbeiten
essen,V,A1,to eat,Er aß ein Sandwich.,Wir haben zu Mittag gegessen.,,,,haben,,,aß,gegessen,hat gegessen,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/essen
gehen,V,A1,to go,Er ging zur Schule.,Wir sind nach Hause gegangen.,,,false,sein,gehe,geht,ging,gegangen,ist gegangen,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:verbs,"A1 Essential Verbs; https://www.dwds.de/wb/gehen; ""gehen"" follows the standard pattern for regular verbs in the present tense."
haben,V,A1,to have,Ich hatte keine Zeit.,Er hat viel Geld gehabt.,,,false,haben,habe,hat,hatte,gehabt,hat gehabt,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:verbs,"A1 Essential Verbs; https://www.dwds.de/wb/haben; ""haben"" is an irregular verb. Note the change from ""b"" to ""s"" and ""t"" in the du and er/sie/es forms."
heißen,V,A1,to be called,Er hieß Peter.,Sie hat anders geheißen.,,,,haben,,,hieß,geheißen,hat geheißen,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/hei%C3%9Fen#1
hören,V,A1,to hear,Sie hörte Musik.,Ich habe ein Geräusch gehört.,,,,haben,,,hörte,gehört,hat gehört,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/h%C3%B6ren
kaufen,V,A1,to buy,Sie kaufte neue Schuhe.,Er hat ein Auto gekauft.,,,,haben,,,kaufte,gekauft,hat gekauft,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/kaufen
kommen,V,A1,to come,Sie kam spät.,Der Bus ist pünktlich gekommen.,,,,sein,,,kam,gekommen,ist gekommen,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/kommen
können,V,A1,can/to be able to,Er konnte gut schwimmen.,Das hat er immer gut gekonnt.,,,,haben,kann,kann,konnte,gekonnt,hat gekonnt,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:modal,A1 Essential Verbs; https://www.dwds.de/wb/k%C3%B6nnen; KÖN-nen
leben,V,A1,to live,Er lebte in Berlin.,Sie hat lange in Paris gelebt.,,,,haben,,,lebte,gelebt,hat gelebt,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/leben
lernen,V,A1,to learn,Sie lernte Deutsch.,Er hat viel gelernt.,,,,haben,,,lernte,gelernt,hat gelernt,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/lernen
lesen,V,A1,to read,Sie las ein interessantes Buch.,Er hat die Zeitung gelesen.,,,,haben,,,las,gelesen,hat gelesen,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/lesen#1
machen,V,A1,to make/do,Er machte seine Hausaufgaben.,Sie hat das Essen gemacht.,,,,haben,,,machte,gemacht,hat gemacht,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/machen
müssen,V,A1,must/to have to,Ich musste früh aufstehen.,Er hat arbeiten gemusst.,,,,haben,muss,muss,musste,gemusst,hat gemusst,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:modal,A1 Essential Verbs; https://www.dwds.de/wb/m%C3%BCssen; MÜS-sen
schlafen,V,A1,to sleep,Das Kind schlief tief.,Ich habe gut geschlafen.,,,,haben,,,schlief,geschlafen,hat geschlafen,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/schlafen
schreiben,V,A1,to write,Er schrieb einen Brief.,Sie hat eine E-Mail geschrieben.,,,,haben,,,schrieb,geschrieben,hat geschrieben,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/schreiben
sehen,V,A1,to see,Er sah einen Film.,Wir haben uns gestern gesehen.,,,,haben,,,sah,gesehen,hat gesehen,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/sehen
sein,V,A1,to be,Er war gestern krank.,Sie ist lange in Berlin gewesen.,,,false,sein,bin,ist,war,gewesen,ist gewesen,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:verbs,"A1 Essential Verbs; https://www.dwds.de/wb/sein#3; ""sein"" is a highly irregular verb. Its conjugation must be memorized."
sollen,V,A1,should/ought to,Du solltest mehr lernen.,Das hätte ich nicht gesollt.,,,,haben,soll,soll,sollte,gesollt,hat gesollt,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:modal,A1 Essential Verbs; https://www.dwds.de/wb/sollen; SOL-len
spielen,V,A1,to play,Das Kind spielte im Garten.,Wir haben Fußball gespielt.,,,,haben,,,spielte,gespielt,hat gespielt,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/spielen
sprechen,V,A1,to speak,Er sprach sehr gut Deutsch.,Sie hat mit ihrer Mutter gesprochen.,,,false,haben,spreche,spricht,sprach,gesprochen,hat gesprochen,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:verbs,"A1 Essential Verbs; https://www.dwds.de/wb/sprechen; This is a stem-changing irregular verb. The vowel ""e"" changes to ""i"" in the du and er/sie/es forms."
trinken,V,A1,to drink,Sie trank Wasser.,Er hat Kaffee getrunken.,,,,haben,,,trank,getrunken,hat getrunken,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/trinken
werden,V,A1,to become,Sie wurde Lehrerin.,Er ist Arzt geworden.,,,,sein,,,wurde,geworden,ist geworden,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/werden
wohnen,V,A1,to live/reside,Er wohnte im Zentrum.,Sie hat in einem Apartment gewohnt.,,,,haben,,,wohnte,gewohnt,hat gewohnt,,,Goethe-Institut; dwds-goethe-A1.csv,A1 Essential Verbs; https://www.dwds.de/wb/wohnen
wollen,V,A1,to want,Er wollte nach Hause.,Sie hat das nicht gewollt.,,,,haben,will,will,wollte,gewollt,hat gewollt,,,Goethe-Institut; dwds-goethe-A1.csv; learn-deutsch-data:modal,A1 Essential Verbs; https://www.dwds.de/wb/wollen#2; WOL-len
fahren,V,A1,to drive/ride,Sie fuhr nach Berlin.,Er ist Auto gefahren.,,,,sein,,,fuhr,gefahren,ist gefahren,,,Goethe-Institut; dwds-goethe-A1.csv,A2 Common Verbs; https://www.dwds.de/wb/fahren
fliegen,V,A1,to fly,Das Flugzeug flog nach Paris.,Wir sind nach London geflogen.,,,,sein,,,flog,geflogen,ist geflogen,,,Goethe-Institut; dwds-goethe-A1.csv,A2 Common Verbs; https://www.dwds.de/wb/fliegen
