lemma,pos
arbeiten,V
essen,V
gehen,V
haben,V
heißen,V
hören,V
kaufen,V
kommen,V
können,V
leben,V
lernen,V
lesen,V
machen,V
müssen,V
schlafen,V
schreiben,V
sehen,V
sein,V
sollen,V
spielen,V
sprechen,V
trinken,V
werden,V
wohnen,V
wollen,V
fahren,V
fliegen,V
laufen,V
schwimmen,V
tanzen,V
beschließen,V
entstehen,V
erreichen,V
verbinden,V
bewerten,V
durchführen,V
übertragen,V
beinhalten,V
entsprechen,V
erörtern,V
differenzieren,V
gedeihen,V
suggerieren,V
Haus,N
schnell,Adj
freundlich,Adj
gern,Adv
ich,Pron
