lemma,level,english,example_de,example_en,comparative,superlative,approved,sources_csv,source_notes
schnell,A1,fast,Ein schneller Zug.,A fast train.,schneller,am schnellsten,true,Goethe-Institut; dwds-goethe-A1.csv,https://www.dwds.de/wb/schnell
freundlich,A2,friendly,Eine freundliche Person.,A friendly person.,freundlicher,am freundlichsten,true,Duden; dwds-goethe-A2.csv,https://www.dwds.de/wb/freundlich
alt,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/alt
arbeitslos,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/arbeitslos
ausländisch,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/ausl%C3%A4ndisch
automatisch,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/automatisch
bar,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/bar#1
billig,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/billig
bitter,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/bitter
blau,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/blau
braun,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/braun
breit,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/breit
bös,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/b%C3%B6s
böse,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/b%C3%B6se
deutsch,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/deutsch
eilig,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/eilig
einfach,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/einfach
europäisch,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/europ%C3%A4isch
falsch,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/falsch
fertig,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/fertig
frei,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/frei
fremd,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/fremd
früher,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/fr%C3%BCher
gelb,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gelb
gleich,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gleich#1
