lemma,level,english,example_de,example_en,comparative,superlative,approved,sources_csv,source_notes
gern,A1,gladly,Ich lese gern.,I like to read.,,,true,Goethe-Institut; dwds-goethe-A1.csv,https://www.dwds.de/wb/gern
an,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/an#2
bald,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/bald
bisschen,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/bisschen
circa,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/circa
da,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/da#1
dann,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/dann
dort,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/dort
draußen,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/drau%C3%9Fen
gerade,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gerade#2
geradeaus,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/geradeaus
gerne,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gerne
gestern,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gestern
gleich,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gleich#2
grade,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/grade#2
gradeaus,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gradeaus
heut,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/heut
heute,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/heute
hier,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/hier
hinten,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/hinten
immer,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/immer
jetzt,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/jetzt
lange,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/lange
leider,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/leider
links,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/links#1
morgen,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/morgen
nicht,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/nicht
nie,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/nie
noch,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/noch#1
nur,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/nur
oben,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/oben
oft,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/oft
rechts,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/rechts#1
schon,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/schon
sehr,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/sehr
sofort,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/sofort
unten,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/unten
vielleicht,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/vielleicht
wann,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wann
warum,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/warum
wie,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wie
wie viel,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wie%20viel
wieder,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wieder
wo,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/wo
zirka,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/zirka
zurzeit,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/zurzeit
zurück,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/zur%C3%BCck
zusammen,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/zusammen
anders,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/anders
außerdem,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/au%C3%9Ferdem
außerhalb,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/au%C3%9Ferhalb#2
besonders,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/besonders
damals,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/damals
doch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/doch#2
