lemma,level,english,example_de,example_en,gender,plural,approved,sources_csv,source_notes
Haus,A1,house,Das Haus ist groß.,The house is big.,das,Häuser,true,Frequency List; Newspaper Corpus; dwds-goethe-A1.csv; learn-deutsch-data:nouns,"regional usage; https://www.dwds.de/wb/Haus; Nouns ending in -us, -ma, -um, -ment, -lein, -chen are often neuter (das). Many one-syllable nouns take an umlaut and ""-er"" in the plural."
Abend,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Abend
Abfahrt,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Abfahrt
Abflug,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Abflug
Absender,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Absender
Achtung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Achtung
Adresse,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Adresse
Alter,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Alter
Anfang,A1,"start, beginning, origin (spatially or temporally)","1545, Martin Luther, Biblia: das ist: Die gantze Heilige Schrifft: Deudsch Auffs new zugericht, Moses I (Genesis) 1:1","In the beginning, God created heaven and earth.",der,,false,dwds-goethe-A1.csv; Manual Apply,https://www.dwds.de/wb/Anfang
Angebot,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Angebot
Ankunft,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ankunft
Anmeldung,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anmeldung
Anrede,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anrede
Anruf,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anruf
Anrufbeantworter,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anrufbeantworter
Ansage,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ansage
Anschluss,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anschluss
Antwort,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Antwort
Anzeige,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Anzeige
Apartment,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Apartment
Apfel,A1,apple,,,der,Äpfel,false,dwds-goethe-A1.csv; learn-deutsch-data:nouns,"https://www.dwds.de/wb/Apfel; Masculine nouns often have plurals with an umlaut and no ending, or just an umlaut."
Appartement,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Appartement
Appetit,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Appetit
April,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/April
Arbeit,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arbeit
Arbeitsplatz,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arbeitsplatz
Arm,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arm
Arzt,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Arzt
Aufgabe,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Aufgabe
Aufzug,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Aufzug
Auge,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Auge
August,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/August#1
Ausflug,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausflug
Ausgang,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausgang
Auskunft,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Auskunft
Ausland,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausland
Ausländer,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausl%C3%A4nder
Aussage,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Aussage
Ausweis,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ausweis
Auto,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Auto
Autobahn,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Autobahn
Automat,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Automat
Baby,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Baby
Bad,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bad
Bahn,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bahn
Bahnhof,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bahnhof
Bahnsteig,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bahnsteig
Balkon,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Balkon
Banane,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Banane
Bank,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bank#1; https://www.dwds.de/wb/Bank#2
Bauch,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bauch
Baum,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Baum
Beamte,A1,,,,"der, die",,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Beamte
Bein,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bein
Beispiel,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Beispiel
Bekannte,A1,,,,"die, der",,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bekannte
Beruf,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Beruf
Bett,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bett
Bier,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bier
Bild,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bild
Birne,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Birne
Bitte,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bitte
Bleistift,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bleistift
Blick,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Blick#1
Blume,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Blume
Bogen,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bogen#2
Brief,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Brief
Briefmarke,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Briefmarke
Brot,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Brot
Bruder,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bruder
Brötchen,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Br%C3%B6tchen
Buch,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Buch
Buchstabe,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Buchstabe
Bus,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Bus
Butter,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Butter
Bäckerei,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/B%C3%A4ckerei
Café,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Caf%C3%A9
CD,A1,,,,die,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/CD#1
Cent,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Cent
Chef,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Chef
Computer,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Computer
Dank,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dank
Datum,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Datum
Deutsche,A1,,,,"die, der",,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Deutsche#2
Dezember,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dezember
Dienstag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dienstag
Doktor,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Doktor
Donnerstag,A1,,,,der,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Donnerstag
Doppelzimmer,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Doppelzimmer
Dorf,A1,,,,das,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dorf
